country,technology,jobs (thousands),source,notes,year
Albania,All technologies,12.322,,,2020
Albania,Biogas,,,,2020
Albania,CSP,,,,2020
Albania,Geothermal Energy,,,,2020
Albania,Hydropower,11.967,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Albania,Liquid Biofuels,,,,2020
Albania,Municipal and industrial waste,,,,2020
Albania,Others,,,,2020
Albania,Solar Heating / Cooling,0.3,IRENA estimate,Based on employment factors and capacity data,2020
Albania,Solar Photovoltaic,0.055,IRENA estimate,,2020
Albania,Solid Biomass,,,,2020
Albania,Wind Energy,,,,2020
Algeria,All technologies,2.348,,,2020
Algeria,Biogas,,,,2020
Algeria,CSP,,,,2020
Algeria,Geothermal Energy,,,,2020
Algeria,Hydropower,,,,2020
Algeria,Liquid Biofuels,,,,2020
Algeria,Municipal and industrial waste,,,,2020
Algeria,Others,1.848,Elmoudjahid (2016); SKTM (2016); Condor (2016),"These are people employed in CDER, SKTM and Condor ",2020
Algeria,Solar Heating / Cooling,,,,2020
Algeria,Solar Photovoltaic,0.5,IRENA estimate,IRENA estimate based on data from Renewable Energy Development Centre (CDER),2020
Algeria,Solid Biomass,,,,2020
Algeria,"Tide, Wave and Ocean Energy",,,,2020
Algeria,Wind Energy,,,,2020
All World,All technologies,12018.04138,,,2020
All World,Biogas,339.155,,,2020
All World,CSP,31.945,,,2020
All World,Geothermal Energy,96.144,,,2020
All World,Hydropower,2181.595,,,2020
All World,Liquid Biofuels,2410.862,,,2020
All World,Municipal and industrial waste,39.221,,,2020
All World,Others,104.116,,,2020
All World,Solar Heating / Cooling,819.3753828,,,2020
All World,Solar Photovoltaic,3975.096,,,2020
All World,Solid Biomass,765.038,,,2020
All World,"Tide, Wave and Ocean Energy",1.288,,,2020
All World,Wind Energy,1254.206,,,2020
Angola,All technologies,3.514,,,2020
Angola,Biogas,,,,2020
Angola,CSP,,,,2020
Angola,Geothermal Energy,,,,2020
Angola,Hydropower,3.514,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Angola,Liquid Biofuels,,,,2020
Angola,Municipal and industrial waste,,,,2020
Angola,Others,,,,2020
Angola,Solar Heating / Cooling,,,,2020
Angola,Solar Photovoltaic,,,,2020
Angola,Solid Biomass,,,,2020
Angola,"Tide, Wave and Ocean Energy",,,,2020
Angola,Wind Energy,,,,2020
Argentina,All technologies,29.413,,,2020
Argentina,Biogas,0.37,IRENA focal point,,2020
Argentina,CSP,,,,2020
Argentina,Geothermal Energy,,,,2020
Argentina,Hydropower,23.483,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Argentina,Liquid Biofuels,0,IRENA focal point,,2020
Argentina,Municipal and industrial waste,,,,2020
Argentina,Others,,,,2020
Argentina,Solar Heating / Cooling,0,IRENA focal point,,2020
Argentina,Solar Photovoltaic,2.19,IRENA focal point,,2020
Argentina,Solid Biomass,1.69,,,2020
Argentina,"Tide, Wave and Ocean Energy",,,,2020
Argentina,Wind Energy,1.68,IRENA focal point,,2020
Australia,All technologies,67.788,,,2020
Australia,Biogas,,,,2020
Australia,CSP,,,,2020
Australia,Geothermal Energy,0.04,ABS (2020),,2020
Australia,Hydropower,2.048,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Australia,Liquid Biofuels,,,,2020
Australia,Municipal and industrial waste,,,,2020
Australia,Others,1.12,ABS (2020),Government jobs,2020
Australia,Solar Heating / Cooling,4.2,IRENA estimate,Based on employment factors and capacity data,2020
Australia,Solar Photovoltaic,46.4,IRENA estimate,"Around 30,150 in distributed / rooftop",2020
Australia,Solid Biomass,1.58,ABS (2020),,2020
Australia,"Tide, Wave and Ocean Energy",,,,2020
Australia,Wind Energy,12.4,IRENA estimate,,2020
Austria,All technologies,30.546,,,2020
Austria,Biogas,0.4,EurObserv'ER (2020),,2020
Austria,CSP,,,,2020
Austria,Geothermal Energy,0.847,EurObserv'ER (2020),,2020
Austria,Hydropower,9.999,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Austria,Liquid Biofuels,2.1,EurObserv'ER (2020),,2020
Austria,Municipal and industrial waste,0.2,EurObserv'ER (2020),,2020
Austria,Others,,,,2020
Austria,Solar Heating / Cooling,1.8,EurObserv'ER (2020),,2020
Austria,Solar Photovoltaic,3.9,IRENA estimate,,2020
Austria,Solid Biomass,10.1,EurObserv'ER (2020),,2020
Austria,"Tide, Wave and Ocean Energy",,,,2020
Austria,Wind Energy,1.2,IRENA estimate,,2020
Azerbaijan,All technologies,3.441,,,2020
Azerbaijan,Biogas,,,,2020
Azerbaijan,CSP,,,,2020
Azerbaijan,Geothermal Energy,,,,2020
Azerbaijan,Hydropower,3.441,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2020
Azerbaijan,Liquid Biofuels,,,,2020
Azerbaijan,Municipal and industrial waste,,,,2020
Azerbaijan,Others,,,,2020
Azerbaijan,Solar Heating / Cooling,,,,2020
Azerbaijan,Solar Photovoltaic,,,,2020
Azerbaijan,Solid Biomass,,,,2020
Azerbaijan,"Tide, Wave and Ocean Energy",,,,2020
Azerbaijan,Wind Energy,,,,2020
Bangladesh,All technologies,127.6,,,2020
Bangladesh,Biogas,12,IRENA focal point,,2020
Bangladesh,CSP,,,,2020
Bangladesh,Geothermal Energy,,,,2020
Bangladesh,Hydropower,2.5,IRENA focal point,,2020
Bangladesh,Liquid Biofuels,,,,2020
Bangladesh,Municipal and industrial waste,,,,2020
Bangladesh,Others,3,IRENA focal point,,2020
Bangladesh,Solar Heating / Cooling,,,,2020
Bangladesh,Solar Photovoltaic,110,IRENA estimate,Based on installation trends,2020
Bangladesh,Solid Biomass,,,,2020
Bangladesh,"Tide, Wave and Ocean Energy",,,,2020
Bangladesh,Wind Energy,0.1,IRENA Estimate,,2020
Barbados,All technologies,0.14,,,2020
Barbados,Biogas,,,,2020
Barbados,CSP,,,,2020
Barbados,Geothermal Energy,,,,2020
Barbados,Hydropower,,,,2020
Barbados,Liquid Biofuels,,,,2020
Barbados,Municipal and industrial waste,,,,2020
Barbados,Others,,,,2020
Barbados,Solar Heating / Cooling,0.14,IRENA estimate,Based on employment factors and capacity data,2020
Barbados,Solar Photovoltaic,,,,2020
Barbados,Solid Biomass,,,,2020
Barbados,"Tide, Wave and Ocean Energy",,,,2020
Barbados,Wind Energy,,,,2020
Belarus,All technologies,0.34,,,2020
Belarus,Biogas,,,,2020
Belarus,CSP,,,,2020
Belarus,Geothermal Energy,,,,2020
Belarus,Hydropower,,,,2020
Belarus,Liquid Biofuels,,,,2020
Belarus,Municipal and industrial waste,,,,2020
Belarus,Others,,,,2020
Belarus,Solar Heating / Cooling,,,,2020
Belarus,Solar Photovoltaic,0.1,IRENA estimate,,2020
Belarus,Solid Biomass,,,,2020
Belarus,Wind Energy,0.24,IRENA estimate,,2020
Belgium,All technologies,22.574,,,2020
Belgium,Biogas,0.4,EurObserv'ER (2020),,2020
Belgium,CSP,,,,2020
Belgium,Geothermal Energy,0.174,EurObserv'ER (2020),,2020
Belgium,Hydropower,0.4,EurObserv'ER (2020),,2020
Belgium,Liquid Biofuels,1.1,EurObserv'ER (2020),,2020
Belgium,Municipal and industrial waste,0.6,EurObserv'ER (2020),,2020
Belgium,Others,,,,2020
Belgium,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2020
Belgium,Solar Photovoltaic,6.6,IRENA estimate,,2020
Belgium,Solid Biomass,1.5,EurObserv'ER (2020),,2020
Belgium,"Tide, Wave and Ocean Energy",,,,2020
Belgium,Wind Energy,11.7,,,2020
Bosnia and Herzegovina,All technologies,,,,2020
Bosnia and Herzegovina,Biogas,,,,2020
Bosnia and Herzegovina,CSP,,,,2020
Bosnia and Herzegovina,Geothermal Energy,,,,2020
Bosnia and Herzegovina,Hydropower,,,,2020
Bosnia and Herzegovina,Liquid Biofuels,,,,2020
Bosnia and Herzegovina,Municipal and industrial waste,,,,2020
Bosnia and Herzegovina,Others,,,,2020
Bosnia and Herzegovina,Solar Heating / Cooling,,,,2020
Bosnia and Herzegovina,Solar Photovoltaic,,,,2020
Bosnia and Herzegovina,Solid Biomass,,,,2020
Bosnia and Herzegovina,Wind Energy,,,,2020
Botswana,All technologies,0.1,,,2020
Botswana,Biogas,,,,2020
Botswana,CSP,,,,2020
Botswana,Geothermal Energy,,,,2020
Botswana,Hydropower,,,,2020
Botswana,Liquid Biofuels,,,,2020
