"OBJECT ID","Community name","Alternative community name","Province/Territory","Community record status","Community type","Latitude (°)","Longitude (°)","Community classification","Indigenous category","Is there year-round road access to this community?","Is this a fly-in community?","Population","Main power source","Name of service provider","Total fossil fuel generating capacity (kW)","Annual fossil fuel generation (MWh/yr)","Price of fuel at site","Units","Total renewable energy generation (kW)","Community energy plan"
"1","Les Îles-de-la-Madeleine","Magdalen Islands","QC","Active > Multi-community local microgrid","Settlement","47.38333","-61.8666","Non-indigenous","null","No","No","12475","Heavy fuel oil","Hydro-Quebec","67044","181648","0.7","$/l","0","null"
"2","Ocean Falls","null","BC","Active > Multi-community local microgrid","Settlement","52.35","-127.7","Non-indigenous","null","No","No","203","Hydro","BC Hydro","null","null","null","null","10000","null"
"3","Whitehorse 8","null","YT","Active > Grid connected: Yukon or NWT grid","Settlement","60.75","-135.08","Indigenous","First Nation","Yes","No","null","Prov./terr. grid","Yukon Energy Corp.","null","null","0.33","$/l","0","null"
"4","Bella Bella","Bella Bella 1","BC","Active > Multi-community local microgrid","Settlement","52.16034","-128.14548","Indigenous","First Nation","No","No","1019","Hydro","BC Hydro","4900","982.8699999999993","null","null","0","null"
"5","Wagisla","null","BC","Active > Multi-community local microgrid","Settlement","52.161667","-128.143611","Indigenous","First Nation","No","No","null","Hydro","BC Hydro","null","null","null","null","0","null"
"6","Shearwater","null","BC","Active > Multi-community local microgrid","Settlement","52.13","-128.08","Non-indigenous","null","No","No","50","Hydro","BC Hydro","null","null","null","null","0","null"
"7","Bella Coola","Bella Coola 1","BC","Active > Multi-community local microgrid","Settlement","52.37146","-126.75579","Indigenous","First Nation","Yes","No","807","Hydro","BC Hydro","9250","7938.840000000001","null","null","0","null"
"8","Firvale","null","BC","Active > Multi-community local microgrid","Settlement","52.4426972222222","-126.29223055555555","Non-indigenous","null","null","null","null","Hydro","BC Hydro","null","null","null","null","0","null"
"9","Hagensborg","null","BC","Active > Multi-community local microgrid","Settlement","52.38","-126.55","Non-indigenous","null","Yes","No","256","Hydro","BC Hydro","null","null","null","null","0","null"
"10","Masset","Old Masset","BC","Active > Multi-community local microgrid","Settlement","54.01","-132.13806","Non-indigenous","null","No","No","793","Diesel","BC Hydro","13095","26433","null","null","0","null"
"11","Old Masset","Masset 1","BC","Active > Multi-community local microgrid","Settlement","54.00797","-132.1362","Indigenous","First Nation","No","No","555","Diesel","BC Hydro","null","null","null","null","0","null"
"12","Port Clements","null","BC","Active > Multi-community local microgrid","Settlement","53.68","-132.18","Non-indigenous","null","No","No","555","Diesel","BC Hydro","null","null","null","null","0","null"
"13","Queen Charlotte","Queen Charlotte City","BC","Active > Multi-community local microgrid","Settlement","53.25","-132.08","Non-indigenous","null","No","No","852","Hydro","BC Hydro","null","null","null","null","0","null"
"14","Sandspit","null","BC","Active > Multi-community local microgrid","Settlement","53.23333","-131.81667","Non-indigenous","null","No","No","296","Hydro","BC Hydro","10150","5507.200000000001","null","null","0","null"
"15","Skidegate Landing","null","BC","Active > Multi-community local microgrid","Settlement","53.24816","-132.01162","Indigenous","First Nation","No","No","837","Hydro","BC Hydro","null","null","null","null","0","null"
"16","Tlell","null","BC","Active > Multi-community local microgrid","Settlement","53.57","-131.93","Non-indigenous","null","No","No","539","Hydro","BC Hydro","null","null","null","null","0","null"
"17","Anahim Lake","Ulkatcho 14A","BC","Active > Single community off-grid","Settlement","52.45","-125.3","Indigenous","First Nation","Yes","No","82","Diesel","BC Hydro","3550","6649","null","null","0","null"
"18","Atlin","null","BC","Active > Single community off-grid","Settlement","59.56667","-133.7","Indigenous","First Nation","Yes","No","450","Hydro","BC Hydro","null","347.70000000000033","null","null","0","Completed by EDI Environmental Dynamics Inc."
"20","Da'naxda'xw First Nation","Da'naxda'xw;Awaetlala;Sim Creek;Dead Point 5","BC","Active > Single community off-grid","Settlement","51.00101","-125.55799","Indigenous","First Nation","No","No","19","Diesel","Independent","null","null","null","null","0","null"
"21","Dease Lake","null","BC","Active > Single community off-grid","Settlement","58.46667","-130.03333","Non-Indigenous","null","Yes","No","335","Hydro","BC Hydro","null","null","null","null","0","null"
"22","Quaee 7","Tsawataineuk/ Quaee 7","BC","Active > Single community off-grid","Settlement","50.9733","-126.17808","Indigenous","First Nation","No","No","90","Diesel","Independent","null","null","null","null","0","Completed by Pembina"
"24","Kwadacha","Fort Ware;Fort Ware 1","BC","Active > Single community off-grid","Settlement","57.42844","-125.62705","Indigenous","First Nation","Yes","No","332","Diesel","BC Hydro","1800","2963","null","null","315","null"
"25","Good Hope Lake","Dease River","BC","Active > Single community off-grid","Settlement","59.1847","-129.22314","Indigenous","First Nation","Yes","No","null","Diesel","BC Hydro","622","1060","null","null","0","null"
"26","Jade City","null","BC","Active > Single community off-grid","Settlement","59.258333","-129.625","Non-indigenous","null","Yes","No","30","Diesel","BC Hydro","null","null","null","null","0","null"
"27","Gwawaenuk","Kwa-wa-aineuk;Hopetown;Hopetown 10A","BC","Active > Single community off-grid","Settlement","50.92442","-126.81999","Indigenous","First Nation","No","No","16","Diesel","Independent","null","null","null","null","0","null"
"28","Kulkayu","Gitga’at;Hartley Bay","BC","Active > Single community off-grid","Settlement","53.42442","-129.25979","Indigenous","First Nation","No","No","68","Diesel","BC Hydro","1095","1673","null","null","0","null"
"29","Hesquiaht","Refuge Cove 6;Hesquiaht","BC","Active > Single community off-grid","Settlement","49.36658","-126.27292","Indigenous","First Nation","No","No","44","Diesel","Independent","150","null","0.41","$/l","0","null"
"31","Klemtu","Kitasoo","BC","Active > Single community off-grid","Settlement","52.58909","-128.53205","Indigenous","First Nation","No","No","292","Hydro","Independent","null","null","null","null","25000","Completed by Pembina"
