Project Name,Project Description,Project Type,MOE Approval Number,Project Approval Type,Proponent Name,Proponent Website,Location,MOE Region,Application Status,EBR Number,,,,,,,
Ashbridges Bay Biogas Cogeneration Plant,A 9.912 MW  biogas energy plant utilizing digester gas produced at the sewage treatment plant as fuel supply,Bioenergy,1827-8EXJG6,REA,Toronto Hydro Energy Services Inc.,http://www.torontohydroenergy.com/,Toronto Region,Central,Approved,Not applicable,,,,,,,
Merrick Landfill Site Landfill Gas Utilization Facility,A 1.6 MW biogas energy plant utilizing landfill gas as fuel supply,Bioenergy,2494-8F8H5N,REA,North Bay Hydro,http://www.northbayhydro.com/public/index/,District of Nippissing ,Northern,Approved,Not applicable,,,,,,,
ENS Poultry Inc.,A 0.137MW anaerobic digestion facility utilizing a combination of agricultural wastes,Bioenergy,9230-8QKPAR,REA,ENS Poultry Inc.,Not applicable,Wellington County,West Central,Approved,Not applicable,,,,,,,
Woolwich Bio-En Inc.,A 2.852 MW biogas energy plant utilizing a variety of organic materials as fuel supply,Bioenergy,6428-8LGLBH,REA,Woolwich Bio-En Inc.,http://www.bio-en.ca/,Waterloo Region,West Central,Approved,Not applicable,,,,,,,
De Bruin Farms Anaerobic Digester,0.36 MW bioenergy project,Bioenergy,4236-8T9J49,REA,De Bruins Farms Ltd. ,Not applicable,Frontenac County,Eastern,Approved,Not applicable,,,,,,,
Bensfort Road Landfill Gas Generation Project,A 1.6 MW biogas energy plant utilizing landfill gas as fuel supply,Bioenergy,6611-8U3J5R,REA,Peterborough Utilities Inc.,http://www.pui.ca/home.htm,Peterborough County,Eastern,Approved,Not applicable,,,,,,,
Kawartha Biogas,9.8 MW biogas energy plant that will process organic material which will generate electricity and heat.,Bioenergy,4765-92MKCJ,REA,PurEnergy Inc. ,Not applicable,Peterborough County,Eastern,Approved,Not applicable,,,,,,,
Lindsay – Ops Landfill Site Renewable Energy Generation Facility,0.335 MW biogas facility,Bioenergy,8446-9HSGRP,REA,The Corporation of the City of Kawartha Lakes,Not applicable,Kawartha Lakes County,Eastern,Approved,Not applicable,,,,,,,
Grimsby Biogas,1 MW anaerobic digestor,Bioenergy,Fcedar,REA,Grimsby Energy Incorporated ,http://grimsbyenergy.com/,Regional Municipality of Niagara,West Central,Approved,Not applicable,,,,,,,
Peterborough Waste Water Treatment Plant,0.38 MW Biogas Facility,Bioenergy,6708-9WEPND,REA,Peterborough Utilities Inc.,Not applicable,Peterborough County,Eastern,Approved,Not applicable,,,,,,,
Toronto Zoo Biogas ,A 0.5 MW Anaerobic Digestion Facility,Bioenergy,4501-9VJK3N,REA,ZooShare Biogas Co-operative Inc.,http://zooshare.ca/,Toronto Region,Central,Approved,Not applicable,,,,,,,
Whitesand First Nation Cogeneration and Pellet Mill,3.6 MW Thermal Treatment Facility,Bioenergy,4623-9W7K5Q,REA,Sagatay Cogeneration Ltd. operating as Sagatay Cogeneration LP,Not applicable,District of Thunder Bay ,Northern,Approved,Not applicable,,,,,,,
Disco Road Biogas Utilization Project,2.8 MW Biogas Facility,Bioenergy,1885-A78K3D,REA,City of Toronto,Not applicable,Toronto Region,Central,Approved,Not applicable,,,,,,,
GM Canada Biogas Project,6.4 MW biogas project,Bioenergy,9962-AR8Q26,REA,General Motors of Canada Company,Not applicable,Regional Municipality of Niagara,West Central,Approved,Not applicable,,,,,,,
Athlone Biopower,0.498 MW anaerobic digestor,Bioenergy,Not applicable,REA,Athlone Farms Inc.,Not applicable,County of Perth,Southwest,Application Returned /or Withdrawn,Not applicable,,,,,,,
St. Clair Moore Solar Farm,20 MW solar farm. ,Solar,1901-8G3JES,REA,"First Solar Development (Canada), Inc.",Not applicable,Lambton County,Southwest,Approved,Not applicable,,,,,,,
St. Clair Sombra Solar Farm,20 MW solar farm. ,Solar,7195-8JVJYV,REA,"First Solar Development (Canada), Inc.",Not applicable,Lambton County,Southwest,Approved,Not applicable,,,,,,,
SunE Rutley Solar Farm,10 MW solar project. ,Solar,7818-8L4PNL,REA,SunE Rutley GP Corp,http://www.sunedison.ca/aboutus--solar-energy-company-canada.php,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
South Glengarry Solar Project,10 MW solar project. ,Solar,2189-8NQPZ5,REA,Penn Energy,http://pennenergyrenewables.com/solar-ontario/sglengarry.html,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
RE Smiths Falls 5 , 10 MW solar project. ,Solar,4377-8LMH9S,REA,Smiths Falls 5  (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php#SF5,Lanark County,Eastern,Approved,Not applicable,,,,,,,
William Rutely Solar Project ,10 MW solar project. ,Solar,2663-8P2TWB,REA,Tempest Power Corporation  (also Canadian Solar),http://www.canadian-solar.com/,"Stormont, Dundas & Glengarry County",Eastern,Approved,Not applicable,,,,,,,
RE Smiths Falls 6,10 MW solar project. ,Solar,1157-8P5RAS,REA,Smiths Falls 6 ULC (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php,Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
RE Waubaushene 4,8 MW solar project. ,Solar,1762-8N8LCJ,REA,Waubaushene 4 ULC (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php,Simcoe County,Central,Approved,Not applicable,,,,,,,
RE Waubaushene 5,5 MW solar project. ,Solar,3079-8MRLAY,REA,Waubaushene 5 ULC (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php,Simcoe County,Central,Approved,Not applicable,,,,,,,
RE Midhurst 6,9 MW solar project. ,Solar,0472-8Q6JK5,REA,Midhurst 6 ULC (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php ,Simcoe County,Central,Approved,Not applicable,,,,,,,
Crosby Solar Farm,10 MW solar project. ,Solar,2318-8Q6PXQ,REA,Northland Power Inc.,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=43#m=2,Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
RE Orillia 2,10 MW solar project.,Solar,8968-8N9KH7,REA,Orillia 2 ULC (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php ,Simcoe County,Central,Approved,Not applicable,,,,,,,
Amherstburg Solar Farm,10 MW solar project. ,Solar,8816-8QLGZ4,REA,First Solar Development,Not applicable,County of Essex,Southwest,Approved,Not applicable,,,,,,,
Walpole Solar Farm,20 MW solar project. ,Solar,4519-8QLGZW,REA,"First Solar Development (Canada), Inc.",Not applicable,Haldimand County,West Central,Approved,Not applicable,,,,,,,
Beaver Creek Solar Farm,0.5 MW solar project. ,Solar,2895-8QCJVX,REA,Injasuti Developments,http://injasutidevelopments.com/beavercreek.html,Elgin County,Southwest,Approved,Not applicable,,,,,,,
Rideau Lakes Solar Farm,10 MW solar project. ,Solar,4501-8QUJ5A,REA,Northland Power Inc.,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=46#m=2,Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
Burk's Falls East Solar Project,10 MW solar project. ,Solar,6662-8QVM6U,REA,Northland Power Inc.,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=41#m=2,Parry Sound District,Northern,Approved,Not applicable,,,,,,,
RE Smiths Falls 2,10 MW solar project. ,Solar,8020-8R3PH2,REA,Smiths Falls 2 ULC (Also Known as Recurrent Energy),http://ontariosolarfuture.ca/projects.php,Lanark County,Eastern,Approved,Not applicable,,,,,,,
Brockville Solar Project (2176047 Ontario Inc),10 MW solar project. ,Solar,4549-8MKH7H,REA,Canadian Solar Solutions Inc. ,Not applicable, Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
McCann Solar Project,10 MW solar project. ,Solar,5636-8RAM88,REA,Northland Power Inc.,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=38#m=2, Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
Belleville North Solar Project,10 MW solar project. ,Solar,5943-8R8HYQ,REA,Northland Power Inc.,http://www.northlandpower.ca/bellevillenorth/microsite.taf?linkId=125&_UserReference=0BF23DC32F6FD5274E1CB63E,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
Belleville South  Solar Project,10 MW solar project. ,Solar,8277-8RYRBG,REA,Northland Power Inc.,http://www.northlandpower.ca/WhatWeDo/Projects.aspx?projectID=40#m=2,Prince Edward County,Eastern,Approved,Not applicable,,,,,,,
Belmont Solar Farm,20 MW solar project. ,Solar,6928-8QSMBZ,REA,First Solar Development,Not applicable, Elgin County & Middlesex County,Southwest,Approved,Not applicable,,,,,,,
Brockville Solar Farm,10 MW solar project. ,Solar,0602-8RFLKT,REA,Brockville Solar Inc. ,http://brockvillesolar.com/, Leeds & Grenville County,Eastern,Approved,Not applicable,,,,,,,
Flowerburn Solar Farm,0.5 MW solar project. ,Solar,6246-8T8G5W,REA,Injasuti Developments,http://www.injasutidevelopments.com/flowerburn.html,Elgin County,Southwest,Approved,Not applicable,,,,,,,
